Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2018-07-27,9537,9583.15,9526.55,9579.05,1325794458,30687.63
2018-07-30,9598.5,9624.9,9566.35,9618.7,1334687857,30451.88
2018-07-31,9615.1,9657.6,9582.7,9650.6,1449450833,32459.43
2018-08-01,9661.7,9683.6,9620.95,9651.7,1409791715,31491.57
2018-08-02,9642.1,9642.1,9579.7,9588.8,1197535946,28064.67
2018-08-03,9631.4,9690.55,9630.45,9685.7,1337083279,29111.51
2018-08-06,9723.05,9743.65,9698,9709.35,1215418308,25918.71
2018-08-07,9740.65,9744.25,9675.75,9704.8,1395132327,29074.74
2018-08-08,9723.8,9754.3,9696.7,9744.75,1308872030,28052.37
2018-08-09,9779.35,9784.05,9752.95,9769.1,1797016355,31690.09
2018-08-10,9776.7,9777.85,9715.3,9724.45,1448202501,31043.39
2018-08-13,9673,9704.9,9641.15,9656.5,1289194074,27040.93
2018-08-14,9678.7,9730.65,9672.15,9726.15,1152985809,28710.71
2018-08-16,9696.9,9742.5,9666.5,9685.65,1363367193,31562.03
2018-08-17,9730.85,9776.3,9728.2,9770.2,1292601586,27599.23
2018-08-20,9800.8,9846.55,9798.9,9839.75,1230533685,29071.98
2018-08-21,9862.9,9868.5,9831.05,9862.5,1270781564,29044.75
2018-08-23,9900.05,9900.05,9839,9872.55,1083251991,33564.8
2018-08-24,9860.9,9889.95,9821.45,9850.8,1247916994,30564.91
2018-08-27,9893.45,9966.9,9887.5,9958.8,1129321339,27094.65
2018-08-28,9990.25,10012.85,9963.35,9985.9,1230223071,29455.31
2018-08-29,9995.1,10015.35,9964.35,9973.65,1381557301,32126.35
2018-08-30,9979.35,9986.35,9947,9975.2,1588292353,37760.86
2018-08-31,9978.25,10027,9951.55,9992,1516606270,39877.66
2018-09-03,10049.85,10049.85,9908.7,9921.65,1313564307,32649.01
2018-09-04,9933,9937.75,9784.25,9806.05,1317238961,32833.4
2018-09-05,9795.7,9817.85,9678.2,9764.55,1454461370,33320.66
2018-09-06,9801.95,9832.4,9730.85,9815.45,1142128524,31576.54
2018-09-07,9834.55,9885.6,9779.35,9875.2,1157981164,33610.23
2018-09-10,9862.8,9870.7,9730.2,9740.1,1113546500,30874.83
2018-09-11,9770.9,9775.05,9596.5,9607.1,1196887546,33308.22
2018-09-12,9641.65,9669.2,9552.2,9660.6,1349558257,30938.53
2018-09-14,9724.2,9799.15,9722.75,9792.75,1167247807,31236.17
2018-09-17,9754.6,9754.6,9687.3,9696.45,1237275914,26246.81
2018-09-18,9701.3,9728.15,9586,9594.25,1479396884,29717.76
2018-09-19,9633.9,9640.3,9516.25,9545.7,1265966675,29737.64
2018-09-21,9585.1,9630.7,9134.55,9425.55,2503150510,62365.21
2018-09-24,9445.2,9449.75,9223.25,9243.15,1566193763,40152.09
2018-09-25,9238.3,9317.1,9149,9303.35,1798999066,43387.33
2018-09-26,9367.6,9367.6,9255.35,9302.25,1506735898,33527.52
2018-09-27,9319.8,9324.5,9188.6,9202.35,1572873469,40125.53
2018-09-28,9230.1,9249.35,9041.65,9116,1859223742,42339.63
2018-10-01,9107,9185.5,8986.4,9165.5,1602111133,36796.24
2018-10-03,9147.25,9157.2,9042.05,9056.7,1533585279,37398.4
2018-10-04,8963.7,8963.7,8812,8854.85,1494203982,38384.61
2018-10-05,8793.2,8815.8,8582.15,8624.95,1568350597,38336
2018-10-08,8611.35,8671.3,8483.15,8602.6,1543006162,37131.2
2018-10-09,8635.85,8645.8,8519.3,8562.95,1371016463,32361.92
2018-10-10,8590.45,8762.25,8588.35,8748.5,1466989682,35802.85
2018-10-11,8501.4,8657,8473.55,8565.6,1477783161,36871.66
2018-10-12,8649.3,8783.9,8643.35,8767.1,1350685913,32585.82
2018-10-15,8815.15,8821.65,8732.3,8812,1107984956,25799.61
2018-10-16,8849.25,8902.65,8835.4,8893.8,1239760702,28796.93
2018-10-17,8982.55,8999.65,8746.75,8758.6,1284351998,31677.64
2018-10-19,8676.5,8716.55,8595.45,8640.65,1356601716,35949.83
2018-10-22,8717.25,8719.5,8560.55,8576.95,1122187874,29574.48
2018-10-23,8502.6,8559.1,8447.45,8489.9,1126714169,30924.03
2018-10-24,8585.9,8600,8474.55,8555.65,1110641649,32123.78
2018-10-25,8476.1,8500.85,8432.5,8473.5,1608719764,39089.3
2018-10-26,8473.2,8493.85,8370.8,8417.25,1360378373,30455.08
2018-10-29,8457.5,8623.45,8409.6,8610.1,1412127636,32257.83
2018-10-30,8607.4,8652.75,8575.05,8600.3,1439038614,30762.87
2018-10-31,8617.4,8760.35,8536,8753.45,1388548076,38274.86
2018-11-01,8798.3,8800.85,8742.5,8772.5,1460052296,35253.11
2018-11-02,8844.1,8953.6,8840.2,8899.4,1720674278,39766.06
2018-11-05,8904.25,8913,8839.8,8877.9,1245599988,28154.33
2018-11-06,8902.75,8934.9,8839.65,8870.3,1049917135,26249.73
2018-11-07,8938.7,8940.7,8918.05,8933.5,208239813,3589.71
2018-11-09,8947.6,8966.5,8898,8946.35,1214489528,28364.89
2018-11-12,8967.8,8991.15,8846.4,8859.25,1086382258,25989.95
2018-11-13,8834.55,8932.95,8814.6,8923.55,1095636143,25818.48
2018-11-14,8967.25,8980.25,8887.95,8921.45,1352520122,34332.39
2018-11-15,8926.55,8971.1,8894.95,8954.65,1121957770,28705.34
2018-11-16,8975.55,9011.15,8951.5,8993.25,1339946376,33284.11
2018-11-19,9031.8,9060.35,8996.35,9052.75,1172819142,26024.75
2018-11-20,9033.2,9039.7,8948.75,8960.15,1144610307,25638.64
2018-11-21,8973.9,8982.9,8896.1,8940.3,1096698138,27370.45
2018-11-22,8952.45,8973.9,8868.2,8879,1014967646,22977.27
2018-11-26,8913.95,8950.7,8841.1,8943,1074665441,27665.94
2018-11-27,8938.3,8990.45,8924.4,8983.9,1129599563,28990.54
2018-11-28,9001.3,9027.35,8984.5,8993.25,1256593475,30603.76
2018-11-29,9051.85,9097,9031.05,9081.85,1752543319,41406.48
2018-11-30,9107.8,9134.35,9074.7,9109.15,1605201206,38760.99
2018-12-03,9153.6,9157.95,9097.5,9126.9,1523135357,32137.97
2018-12-04,9125.2,9137.65,9094.85,9116.45,1353091050,28373.87
2018-12-05,9075.05,9075.35,8999.65,9029.45,1198625103,27743.12
2018-12-06,8975.4,8975.65,8874.95,8883.25,1229440286,29202.07
2018-12-07,8917.35,8947.35,8876.55,8940.65,1166333395,30368.56
2018-12-10,8789.75,8818.65,8760.15,8769.6,1077537129,26339.43
2018-12-11,8655.1,8859.65,8646.55,8845.15,1292271254,31824.16
2018-12-12,8882.2,9031.6,8865,9021.6,1237968726,30373.43
2018-12-13,9078.75,9113.15,9037.85,9077.3,1270743038,31715.17
2018-12-14,9072.45,9104.45,9046.45,9091.3,1325671237,27714.45
2018-12-17,9127.55,9162.95,9118.5,9153.95,941829527,23484.29
2018-12-18,9126.5,9183.25,9108.1,9177.35,1061222738,25830.85
2018-12-19,9203.05,9258.35,9201.55,9246.8,1433672887,33603.46
2018-12-20,9188.35,9241.1,9180,9234.45,1263836000,29270.32
2018-12-21,9236.55,9255.8,9071.45,9082.55,1379367465,34517.23
2018-12-24,9100.9,9102.05,8992.2,9002.45,1031756392,23085.53
2018-12-26,8977.95,9056.2,8879.45,9041.7,1098579836,26281.11
2018-12-27,9110.85,9119.8,9070.65,9078.8,1494020701,34440.01
2018-12-28,9111.95,9173.6,9109.7,9152.55,985262781,24374.32
2018-12-31,9194.65,9207.1,9159.3,9170,857723474,20800.1
2019-01-01,9186.7,9206.05,9128.4,9197.9,724662248,16992.99
2019-01-02,9169.7,9195.25,9065.45,9103.4,1109343017,27083.35
2019-01-03,9106.65,9130,9006.75,9014.8,992708044,25850.17
2019-01-04,9034.25,9064.85,8978.2,9054.9,1181698697,26746.32
2019-01-07,9117.2,9136.3,9064.65,9081.15,985071768,23345.65
2019-01-08,9090.8,9109.1,9052.1,9098.65,976173837,24758.67
2019-01-09,9143.2,9149.35,9050.15,9127.45,1101309246,28243.89
2019-01-10,9132.8,9144,9102.55,9119.4,907528784,22642.16
2019-01-11,9130.7,9142.3,9057.15,9098.2,861743777,23305.01
2019-01-14,9102.4,9102.9,9014.95,9051.45,911936194,23759.25
2019-01-15,9082.5,9163.3,9082.5,9157.15,978894140,26619.16
2019-01-16,9167.45,9195.05,9150,9158.75,973275892,25021.81
2019-01-17,9182,9191.85,9119.6,9161.6,1007575376,26244.19
2019-01-18,9173.2,9180.3,9113.45,9140.1,959390638,27489.64
2019-01-21,9150.6,9195.8,9125.45,9155.3,998815405,28101.74
2019-01-22,9146.3,9146.3,9075.25,9131.15,1007067684,30053.29
2019-01-23,9138.75,9151.05,9055.15,9068.85,988569092,26380.21
2019-01-24,9080.25,9086.35,9039.45,9072.2,979857742,27051
2019-01-25,9085.6,9133.15,8974.55,8994.35,1262667051,33683.4
2019-01-28,8999.3,9001.15,8849.95,8876.6,1346539812,33750.57
2019-01-29,8865.3,8904.9,8825.6,8875.65,1213359967,32159.92
2019-01-30,8913.45,8919.45,8851.05,8884.9,1172562732,33603.72
2019-01-31,8916.4,9007.45,8899.55,9003.85,1659908058,42878.62
2019-02-01,9024.95,9130.1,8988.25,9056.3,1490461665,39385.9
2019-02-04,9045,9052.55,8974.65,9042,1623654084,28669.36
2019-02-05,9039.7,9064.6,9016.7,9033.6,1988467885,27589.89
2019-02-06,9056.9,9128.05,9039.3,9118.7,1825509475,30999.19
2019-02-07,9125.5,9179.75,9116.15,9145.8,1757382920,29530.68
2019-02-08,9112.7,9122.65,9024.75,9036.9,1520975839,28592.89
2019-02-11,9026.1,9026.1,8949.85,8967.15,1176179562,26058.4
2019-02-12,8961.9,8987.85,8917.65,8925.3,1218532306,26834.39
2019-02-13,8955.35,8970.8,8873.4,8887.9,1378218266,28068.47
2019-02-14,8878.85,8891.9,8837.75,8869.3,1824006382,33558.85
2019-02-15,8887.55,8889.9,8753.65,8827.05,1473779370,33262.22
2019-02-18,8836,8849.05,8744.95,8754.35,1263366166,25794.23
2019-02-19,8753.7,8825.8,8729.7,8742.3,1127866687,25081.96
2019-02-20,8781.4,8858.05,8780,8845.6,1221300791,25796.75
2019-02-21,8857.5,8912.4,8839.75,8901.7,1378298869,27216.69
2019-02-22,8899.6,8925.7,8885.9,8919.75,1693773721,36115.4
2019-02-25,8941.15,8989.9,8921.9,8983.85,1469384001,28624.59
2019-02-26,8899,8994,8846.1,8953.15,1482886356,32057.43
2019-02-27,8991.8,9057.4,8896.2,8946.2,1511871878,32174.01
2019-02-28,8990.35,8990.6,8941.6,8955.95,1812730227,41267.88
2019-03-01,8995.45,9045.7,8994,9037.5,1525231104,29135.12
2019-03-05,9042.9,9178.95,9014.7,9173.6,1929443706,35357.66
2019-03-06,9211.8,9243.3,9197.9,9230.45,1918347956,36741.84
2019-03-07,9251.65,9254.45,9210.9,9225.35,1668089317,30959.57
2019-03-08,9213.3,9225.3,9184.55,9211.05,1422519985,27575.06
2019-03-11,9240.8,9353.4,9235.6,9345.6,1539735147,33039.76
2019-03-12,9399.6,9461.6,9396.85,9440.85,1621296450,38923.79
2019-03-13,9461.25,9471.4,9416.65,9450.25,1443338398,37573.19
2019-03-14,9481.85,9486.5,9424.5,9447.2,1351916296,31560.56
2019-03-15,9473.85,9540.95,9471.4,9499.4,1861141517,45646.05
2019-03-18,9536.05,9572.95,9481.65,9516.7,1413548415,31362.44
2019-03-19,9549.75,9576.05,9513.45,9570.15,1553819264,32443.88
2019-03-20,9587.5,9588.5,9540.9,9553,1519215955,34165.49
2019-03-22,9572.35,9594.1,9485.45,9500.05,1566059510,34280.42
2019-03-25,9446.85,9446.85,9381.9,9411.65,1267948932,27995.37
2019-03-26,9431.9,9522.45,9421.6,9512.6,1475115700,31022.05
2019-03-27,9552.2,9569.6,9475.4,9501.8,1564260248,35985.2
2019-03-28,9518.7,9613.55,9510.8,9601.95,1882550220,45876.98
2019-03-29,9647.75,9667.45,9613,9663.7,1875536376,39926.75
2019-04-01,9703,9756.3,9683.95,9702,1581590493,35213.37
2019-04-02,9735.05,9735.05,9681.6,9720.8,1613306134,34557.44
2019-04-03,9742.35,9765.65,9647.2,9658.4,1471683876,35272.38
2019-04-04,9674,9675.2,9590.85,9626.65,1509400181,34272.31
2019-04-05,9659.65,9700.4,9641.45,9684.95,1256930002,28733.09
2019-04-08,9715.45,9719.95,9593.85,9634.4,1368193376,29359.89
2019-04-09,9641.9,9685.85,9594.95,9677.75,1197577979,28808.55
2019-04-10,9661.55,9690.35,9612.85,9622.95,1231430516,35536.91
2019-04-11,9630.15,9641.75,9599.2,9634.55,1176516005,27452.63
2019-04-12,9646.6,9682.3,9626.95,9674.6,1247836014,27288.81
2019-04-15,9697.65,9726.85,9683.8,9716.5,1287769280,28116.56
2019-04-16,9751.35,9796.1,9748.7,9781.4,1341665199,32585.52
2019-04-18,9826.45,9826.45,9721.4,9738.7,1438090949,34657.71
2019-04-22,9715.95,9715.95,9591.8,9599.8,1124113976,25665
2019-04-23,9614.85,9642.15,9577,9587.3,1233581473,28315.59
2019-04-24,9607.4,9696.55,9585.25,9687.55,1288201931,30507.72
2019-04-25,9697.8,9742.85,9616.3,9628.8,1654760954,43730.22
2019-04-26,9661.1,9695.4,9632.05,9689.7,1242303816,30594.33
2019-04-30,9684.8,9684.8,9592.15,9664.3,1598971958,37132.37
2019-05-02,9646.4,9694.95,9620.7,9637.5,1451787510,32502.76
2019-05-03,9637.5,9665.5,9613.6,9624.55,1194985189,27752.98
2019-05-06,9544.95,9567.4,9513.85,9532.45,1132430027,26630.09
2019-05-07,9573.3,9578.55,9441.5,9450.8,1293893456,29319.34
2019-05-08,9433.1,9433.45,9331.7,9340.25,1485441576,30450.6
2019-05-09,9313.55,9339.55,9261.5,9299.75,1332587410,28895.62
2019-05-10,9309.35,9335.15,9271.1,9290.2,1410355040,30364.43
2019-05-13,9274.05,9288.85,9143.95,9159.95,1448550879,28370.5
2019-05-14,9156,9261.85,9108.45,9212.35,1610461883,33618.66
2019-05-15,9247.15,9265.65,9145.8,9160.1,1354437542,30657.43
2019-05-16,9176.5,9238.95,9136.4,9221.65,1288215233,29252.22
2019-05-17,9224.75,9339.35,9221.6,9329.7,1401303801,34216.41
2019-05-20,9538.3,9681.1,9485.85,9671.9,1760816962,41799.17
2019-05-21,9701,9713.5,9556.75,9578.85,1357571039,35415.51
2019-05-22,9595.6,9629.75,9555.8,9598.2,1471502814,33356.53
2019-05-23,9730,9835.7,9521.6,9552.75,2087015693,49513.7
2019-05-24,9618.75,9728.8,9563.6,9722.05,1618253254,39404.87
2019-05-27,9732.65,9820.95,9702.5,9804.9,1493184953,35689.74
2019-05-28,9834.95,9834.95,9768.3,9815.5,2083466862,50844.24
2019-05-29,9802.4,9812,9737.95,9757.15,1228742600,29829.53
2019-05-30,9762.8,9827.25,9759.5,9815.3,1700060759,35645.48
2019-05-31,9855.55,9889.3,9734.2,9805.05,1722900417,40664.99
2019-06-03,9827.75,9931.65,9796.85,9922.6,1186517526,31863.94
2019-06-04,9898,9941.45,9865.6,9876.2,1222700958,30135.7
2019-06-06,9889.55,9889.55,9712.05,9722.5,1535007689,36565.33
2019-06-07,9736.05,9761.75,9653.7,9735.85,1358725281,29256.42
2019-06-10,9784.45,9813.65,9727.9,9765.85,1501544968,25690.54
2019-06-11,9791.9,9826.65,9743.05,9805.1,1403396274,27744.02
2019-06-12,9801.95,9802.05,9727.75,9749.95,1126421205,24974.71
2019-06-13,9727.15,9758.9,9668.05,9747.05,1364817828,30110.12
2019-06-14,9742.8,9745.15,9652.6,9669.95,1208570037,27628.29
2019-06-17,9681.9,9681.95,9533.35,9543.6,1168363037,27495.66
2019-06-18,9547.5,9587.05,9514.1,9551.35,1394995294,28194.06
2019-06-19,9592.15,9634.15,9476.1,9526.2,1778939283,32158.01
2019-06-20,9501.55,9655.25,9476.25,9646,1877804938,31902.84
2019-06-21,9641.15,9641.25,9566.1,9581.6,1724488279,38352.72
2019-06-24,9585.95,9605.05,9543.4,9564.1,1303669501,24312.1
2019-06-25,9548.65,9643.75,9525.95,9632.85,1394460923,28895.71
2019-06-26,9611.95,9699.65,9604.15,9682.8,-,-
2019-06-27,9694.55,9733.95,9675.5,9692.35,2023509131,40069.1
2019-06-28,9707.45,9713.75,9644.1,9657.95,1289867464,28607.2
2019-07-01,9697,9724.35,9691.9,9713,1077596417,23708.17
2019-07-02,9734.75,9750.05,9675.8,9744.85,1196770112,24392.96
2019-07-03,9762.85,9774.8,9731.5,9757.3,1065751622,25094.2
2019-07-04,9767.8,9793.5,9765.2,9776.8,1147118816,25933.88
2019-07-05,9793.65,9805.3,9644.85,9657.65,1396093695,32083.96
2019-07-08,9619.4,9620.9,9418,9447.8,1288620102,30917.49
2019-07-09,9428.05,9473.4,9375.8,9455.65,1214460295,33655.33
2019-07-10,9443.65,9482.5,9385.7,9400.1,1026048152,27668.55
2019-07-11,9447.15,9475.7,9414.1,9466.4,1079846072,26576.05
2019-07-12,9480.05,9519.75,9448.4,9457.75,1190248591,30000.09
2019-07-15,9499.25,9502.7,9427.85,9469.15,1033882365,25600.13
2019-07-16,9473.85,9533.55,9456.6,9529.85,1190719870,27452.18
2019-07-17,9535.25,9563.95,9520.15,9543.35,1212551110,27995.1
2019-07-18,9534.15,9534.5,9447.65,9456.15,1228256718,28525.29
2019-07-19,9484.55,9494.9,9288.8,9304.65,1315031986,33002.07
2019-07-22,9282.6,9285.3,9197.3,9247.75,1243917817,31126.42
2019-07-23,9265.85,9277.65,9208.9,9233.55,1269990614,31342.34
2019-07-24,9228.8,9256.4,9134.65,9160.45,1308470960,32741.54
2019-07-25,9173.75,9232.45,9148.45,9159.15,1414137488,37957.16
2019-07-26,9156,9206.7,9125.35,9192.6,1347461417,31422.91